state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num,bidders_count
Ohio,Paulding,39125,2018,2018-05-24 00:00:00,105522,111,6.49,2.0,99.0,0.943,0.9578592,1.04751014,2.0,"Shelly, Gerken Paving",,9.359511293517889,180326,2
Ohio,Wyandot,39175,2018,2018-11-15 00:00:00,88832,23,6.19,4.0,290.0,3.702,3.23677492,3.30478283,3.0,"Shelly, Shelly & Sands, Kokosing Construction","['23', '23', '23']",2.101100993454324,180569,3
Ohio,Butler,39017,2018,2018-01-18 00:00:00,94263,73,0.5,2.0,195.0,0.287,0.2589,0.23267767,3.0,"Barrett Paving Materials, John R Jurgensen, Rack & Ballauer Excavating",['73'],-10.128362302047128,180006,3
Ohio,Franklin,39049,2018,2018-01-18 00:00:00,76467,270 / 315,NA,4.0,255.0,4.904,6.10148095,6.99161305,3.0,"Kokosing Construction, Shelly, Shelly & Sands","['270', '270', '270', '270', '270', '270', '270', '315', '270']",14.588787661461105,180012,3
Ohio,Hocking,39073,2018,2018-01-18 00:00:00,101555,33,1.23,2.0,255.0,0.435,0.553756,0.53174856,2.0,"Shelly & Sands, Shelly",['33'],-3.974212469029679,180020,2
Ohio,Lorain,39093,2018,2018-01-18 00:00:00,98470,58,8.14,2.0,194.0,1.716,1.74366925,1.75453283,5.0,"Kokosing Construction, Erie Blacktop, Burton Scot Contractors, Barbicas Construction, Chagrin Valley Paving","['58', '58']",0.6230298550026099,180024,5
Ohio,Montgomery,39113,2018,2018-01-18 00:00:00,103062,5093,1.53,4.0,163.0,0.92,0.94777687,0.98012089,2.0,"John R Jurgensen, Barrett Paving Materials","['5093', '5093']",3.412619681254727,180028,2
Ohio,Richland,39139,2018,2018-01-18 00:00:00,94400,13,4.6,2.0,255.0,0.708,0.70687835,0.75015811,2.0,"Kokosing Construction, Shelly & Sands","['13', '13', '13', '13']",6.122660285182026,180031,2
Ohio,Hancock,39063,2018,2018-01-18 00:00:00,87194,698 / 37 / 103,5.45,2.0,256.0,0.921,0.9187329,0.93232687,4.0,"M & B Asphalt, Bluffton Paving, Shelly, Helms And Sons Excavating","['103', '103', '698', '37']",1.479643321796787,188000,4
Ohio,Ashtabula,39007,2018,2018-02-01 00:00:00,94079,45,9.19,2.0,195.0,2.32,2.0878637,2.21724821,7.0,"Ronyak Paving, Shelly & Sands, Koski Construction, Kokosing Construction, Chagrin Valley Paving, Burton Scot Contractors, Americon Industrial Services","['45', '45', '45', '45']",6.196980674552674,180003,7
Ohio,Geauga,39055,2018,2018-02-01 00:00:00,99627,306,4.45,2.0,272.0,1.02,0.9475744,0.95860854,7.0,"Chagrin Valley Paving, Ronyak Paving, Kokosing Construction, Shelly & Sands, Barbicas Construction, Shelly, Burton Scot Contractors","['306', '306']",1.1644615979494617,180014,7
Ohio,Madison,39097,2018,2018-02-01 00:00:00,91512,38 / 42,8.87,2.0,211.0,1.683,1.6616003300000002,1.74931597,5.0,"Shelly, Shelly & Sands, Darby Creek Excavating, A & B Asphalt, Kokosing Construction","['38', '42', '38', '42', '42', '42', '38', '38', '42', '38', '42', '38']",5.278985470591467,180025,5
Ohio,Portage,39133,2018,2018-02-01 00:00:00,94131,700 / 305,7.65,2.0,179.0,1.564,1.37989944,1.3487191399999998,7.0,"Ronyak Paving, Shelly & Sands, Chagrin Valley Paving, Americon Industrial Services, Shelly, Barbicas Construction, Burton Scot Contractors","['700', '700', '305', '700']",-2.259606685542257,180029,7
Ohio,Ashtabula,39007,2018,2018-02-01 00:00:00,94110,531,NA,2.0,179.0,1.384,1.3513286,1.35632725,4.0,"Koski Construction, Ronyak Paving, Chagrin Valley Paving, Burton Scot Contractors","['531', '531', '531', '531', '531', '531']",0.3699063277429416,180043,4
Ohio,Carroll,39019,2018,2018-02-01 00:00:00,91837,164,11.51,2.0,272.0,2.381,2.25192215,2.41590961,5.0,"Shelly & Sands, Allied Enterprises, The Lash Paving, Superior Paving & Materials, Barbicas Construction","['164', '164', '164', '164', '164']",7.282110529442591,180045,5
Ohio,Cuyahoga,39035,2018,2018-02-01 00:00:00,99593,90,2.27,4.0,241.0,2.48,2.70727883,2.8265151200000003,2.0,"Burton Scot Contractors, Kokosing Construction",['90'],4.404285538627004,180050,2
Ohio,Cuyahoga,39035,2018,2018-02-01 00:00:00,89246,176,0.58,4.0,241.0,1.05,1.23987024,1.31980652,3.0,"Chagrin Valley Paving, Burton Scot Contractors, Kokosing Construction",['176'],6.447148856480343,180051,3
Ohio,Delaware,39041,2018,2018-02-02 00:00:00,93147,42,1.82,2.0,240.0,0.257,0.3244252999999999,0.309476,3.0,"Strawser Paving, Shelly & Sands, Shelly",['42'],-4.607932858503945,180055,3
Ohio,Geauga,39055,2018,2018-02-01 00:00:00,99629,700,5.04,2.0,272.0,0.63,0.56160606,0.6251726700000001,6.0,"Ronyak Paving, Kokosing Construction, Chagrin Valley Paving, Barbicas Construction, Burton Scot Contractors, Shelly & Sands",['700'],11.318718676219426,180058,6
Ohio,Mahoning,39099,2018,2018-02-01 00:00:00,94134,289 / 626 / 680 / 224,9.68,2.0,226.0,3.342,3.28490452,3.3953331,5.0,"Shelly & Sands, R T Vernal Paving & Excavating, Americon Industrial Services, Lindy Paving, Shelly","['289', '224', '224', '680', '224', '626', '626', '626', '224', '289']",3.361698318099067,180064,5
Ohio,Meigs,39105,2018,2018-02-01 00:00:00,102364,248 / 7,13.21,2.0,273.0,2.635,2.62495665,2.79389882,2.0,"Shelly, Nuko Paving","['7', '248']",6.435998476393879,180066,2
Ohio,Montgomery,39113,2018,2018-02-01 00:00:00,100968,75,3.61,4.0,211.0,1.795,1.8784,1.9509687,2.0,"Barrett Paving Materials, John R Jurgensen",['75'],3.863325170357748,180067,2
Ohio,Morrow,39117,2018,2018-02-01 00:00:00,102835,95 / 309,16.27,2.0,241.0,3.558,3.23584386,3.3366109,2.0,"Shelly & Sands, Kokosing Construction","['309', '309', '95', '309']",3.114088452957679,180068,2
Ohio,Portage,39133,2018,2018-02-01 00:00:00,87283,14 / 480,1.74,4.0,529.0,2.744,2.79101385,2.76243233,3.0,"Shelly & Sands, Chagrin Valley Paving, Shelly","['480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '14']",-1.024055111729378,180073,3
Ohio,Pike,39131,2018,2018-02-01 00:00:00,97243,552,1.67,2.0,226.0,0.436,0.44769986,0.47311516,2.0,"Axis Civil Construction, Eclipse",['552'],5.67686127934013,184002,2
Ohio,Belmont,39013,2018,2018-02-08 00:00:00,87352,70,3.11,4.0,265.0,0.94,0.8841602,0.98575255,2.0,"Shelly & Sands, The Lash Paving","['70', '70']",11.490264999487662,180085,2
Ohio,Columbiana,39029,2018,2018-02-08 00:00:00,100676,172,7.12,2.0,234.0,0.492,0.52401728,0.51514708,3.0,"American Pavements, Microsurfacing Contractors, Strawser Construction",['172'],-1.6927304382023527,180088,3
Ohio,Erie,39043,2018,2018-02-08 00:00:00,94394,113 / 250,8.85,4.0,234.0,4.193,3.99545415,4.10927898,3.0,"Kokosing Construction, Erie Blacktop, Gerken Paving","['250', '250', '250', '250', '113']",2.848858370706118,180090,3
Ohio,Geauga,39055,2018,2018-02-08 00:00:00,90909,6,3.44,2.0,265.0,0.784,0.66118475,0.6985815400000001,6.0,"Ronyak Paving, Burton Scot Contractors, Kokosing Construction, Chagrin Valley Paving, Karvo Companies, Barbicas Construction",['6'],5.65602730552997,180092,6
Ohio,Hardin,39065,2018,2018-02-08 00:00:00,88848,195 / 235 / 309 / 81,14.49,2.0,234.0,3.403,3.3050371000000003,3.59057829,2.0,"Bluffton Paving, Shelly","['309', '81', '235', '309', '195', '195']",8.639575936984173,180095,2
Ohio,Lucas,39095,2018,2018-02-08 00:00:00,102808,20 / 25,NA,4.0,174.0,2.749,3.3770308900000003,3.40202825,2.0,"Gerken Paving, Shelly","['25', '20', '20', '20']",0.740217096444727,180101,2
Ohio,Mercer,39107,2018,2018-02-12 00:00:00,103254,117,6.54,2.0,169.0,0.78,0.9498294,1.01272837,1.0,Shelly,['117'],6.622133406272747,180102,1
Ohio,Monroe,39111,2018,2018-02-08 00:00:00,91766,7,5.82,2.0,157.0,1.113,0.95096559,1.06147729,2.0,"Shelly & Sands, The Lash Paving",['7'],11.62099882078805,180103,2
Ohio,Montgomery,39113,2018,2018-02-12 00:00:00,103252,75,1.4,4.0,169.0,1.457,1.6423,1.57468569,2.0,"Barrett Paving Materials, John R Jurgensen",['75'],-4.117049869086049,180105,2
Ohio,Portage,39133,2018,2018-02-08 00:00:00,94133,303,2.27,2.0,142.0,0.563,0.4489283,0.45682353,7.0,"Barbicas Construction, Shelly & Sands, Shelly, Ronyak Paving, Chagrin Valley Paving, Karvo Companies, Burton Scot Contractors",['303'],1.7586839591088446,180108,7
Ohio,Seneca,39147,2018,2018-02-08 00:00:00,102817,19 / 101,9.67,2.0,205.0,1.695,1.60740225,2.04831144,4.0,"M & B Asphalt, Gerken Paving, Kokosing Construction, Erie Blacktop","['101', '19', '101', '101', '19', '19', '101', '101']",27.42992241052293,180110,4
Ohio,Stark,39151,2018,2018-02-08 00:00:00,102413,153 / 172,8.42,2.0,203.0,1.251,1.2547311,1.1850788799999998,5.0,"Northstar Asphalt, Superior Paving & Materials, Allied Enterprises, Shelly, Barbicas Construction","['172', '153']",-5.551167098671601,180112,5
Ohio,Summit,39153,2018,2018-02-08 00:00:00,98702,77 / 271 / 16,NA,2.0,204.0,0.715,0.61562742,0.6455450300000001,11.0,"Shelly, Karvo Companies, Kenmore Construction, Burton Scot Contractors, Perrin Asphalt, Chagrin Valley Paving, Ronyak Paving, Shelly & Sands, Kokosing Construction, Barbicas Construction, Roads Asphalt Recycling","['77', '271', '16']",4.859694196207186,180113,11
Ohio,Trumbull,39155,2018,2018-02-08 00:00:00,81641,5,NA,4.0,234.0,3.144,2.96928481,3.01966479,8.0,"Ronyak Paving, Kokosing Construction, Shelly & Sands, Americon Industrial Services, Shelly, Karvo Companies, Chagrin Valley Paving, Barbicas Construction","['5', '5', '5', '5', '5', '5', '5']",1.6967041972642636,180114,8
Ohio,Union,39159,2018,2018-02-08 00:00:00,91391,38,NA,2.0,249.0,0.52,0.51595951,0.50889905,2.0,"Shelly, Strawser Paving",['38'],-1.3684135795849437,180115,2
Ohio,Wayne,39169,2018,2018-02-08 00:00:00,87718,71,NA,4.0,234.0,6.752,5.93205295,6.641350650000001,2.0,"Kokosing Construction, Shelly & Sands","['71', '71', '71']",11.957035885864782,180116,2
Ohio,Perry,39127,2018,2018-02-08 00:00:00,95447,93,13.93,2.0,249.0,1.964,2.04989228,2.24525226,2.0,"Shelly, Shelly & Sands","['93', '93', '93', '93', '93']",9.530255902032064,188001,2
Ohio,Putnam,39137,2018,2018-02-22 00:00:00,93645,65 / 109 / 613,23.68,2.0,191.0,3.365,3.81011693,4.19053466,2.0,"Gerken Paving, Shelly","['109', '613', '65']",9.984410898381537,180071,2
Ohio,Champaign,39021,2018,2018-02-22 00:00:00,104854,29,5.4,2.0,159.0,1.03,1.02415728,1.04891672,2.0,"A & B Asphalt, Shelly",['29'],2.417542743044307,180119,2
Ohio,Cuyahoga,39035,2018,2018-02-22 00:00:00,85530,480,3.2,4.0,251.0,3.59,3.7259619,4.06545857,5.0,"Kokosing Construction, Burton Scot Contractors, Karvo Companies, Shelly, Chagrin Valley Paving",['480'],9.111651678456507,180122,5
Ohio,Guernsey,39059,2018,2018-02-22 00:00:00,100999,265 / 376,19.07,2.0,235.0,2.476,2.24228555,2.52384011,2.0,"Shelly & Sands, The Lash Paving","['265', '265', '376', '265', '265', '265', '265', '265']",12.556588075947795,180132,2
Ohio,Henry,39069,2018,2018-02-22 00:00:00,102763,281,5.71,2.0,128.0,0.719,0.76674763,0.79089294,2.0,"Gerken Paving, Shelly","['281', '281']",3.149055706895368,180137,2
Ohio,Jefferson,39081,2018,2018-02-22 00:00:00,95564,7,4.56,4.0,251.0,2.27,1.69434,1.81484864,2.0,"The Lash Paving, Shelly & Sands",['7'],7.112423716609414,180139,2
Ohio,Lawrence,39087,2018,2018-02-22 00:00:00,83064,52 / 83064,NA,4.0,190.0,1.585,1.60997251,1.61184753,1.0,Shelly,"['52', '52', '52', '83064']",0.1164628581142636,180140,1
Ohio,Logan,39091,2018,2018-02-22 00:00:00,102974,68,3.47,2.0,128.0,0.758,0.84013575,0.8374820799999999,1.0,Shelly,['68'],-0.3158620496747165,180141,1
Ohio,Montgomery,39113,2018,2018-02-22 00:00:00,103055,151,0.4,2.0,128.0,0.112,0.1269695,0.12635425,2.0,"Barrett Paving Materials, A & B Asphalt",['151'],-0.4845651908529305,180147,2
Ohio,Muskingum,39119,2018,2018-02-22 00:00:00,95510,146,9.57,2.0,235.0,1.324,1.13866105,1.20949996,3.0,"Shelly & Sands, The Lash Paving, Shelly","['146', '146']",6.221246436768867,180149,3
Ohio,Summit,39153,2018,2018-02-22 00:00:00,87286,271 / 8,NA,4.0,128.0,1.795,1.69865455,1.40990688,6.0,"Shelly & Sands, Burton Scot Contractors, Chagrin Valley Paving, Karvo Companies, Shelly, Kokosing Construction","['271', '271', '271', '271', '8', '271', '271']",-16.998610459083643,180153,6
Ohio,Tuscarawas,39157,2018,2018-02-23 00:00:00,98266,416,2.85,2.0,250.0,0.979,1.06588444,1.11239097,5.0,"Shelly & Sands, Karvo Companies, Northstar Asphalt, Shelly, Barbicas Construction","['416', '416', '416']",4.363186876055703,180154,5
Ohio,Union,39159,2018,2018-02-22 00:00:00,101246,739 / 287 / 33,9.41,2.0,235.0,4.316,4.94997358,5.18767049,1.0,Shelly,"['287', '33', '33', '33', '33', '33', '287', '33', '739', '739', '33']",4.8019834077579135,180155,1
Ohio,Clark,39023,2018,2018-02-22 00:00:00,97956,41 / 68,12.1,4.0,190.0,4.265,3.99819575,4.2770031,3.0,"Shelly, John R Jurgensen, Barrett Paving Materials","['68', '68', '41']",6.97332915728301,180156,3
Ohio,Delaware,39041,2018,2018-03-16 00:00:00,102832,750,2.82,4.0,213.0,1.398,1.5261843,1.54723292,3.0,"Shelly & Sands, Kokosing Construction, Shelly","['750', '750', '750', '750']",1.379166330042837,180164,3
Ohio,Fulton,39051,2018,2018-03-16 00:00:00,102802,109 / 108,9.72,2.0,137.0,1.532,1.55127359,1.52386563,1.0,Gerken Paving,"['108', '109', '109']",-1.7668037525218308,180165,1
Ohio,Geauga,39055,2018,2018-03-16 00:00:00,99634,608 / 166,6.25,2.0,229.0,0.767,0.69846075,0.87547642,6.0,"Ronyak Paving, Chagrin Valley Paving, Burton Scot Contractors, Karvo Companies, Kokosing Construction, Barbicas Construction","['608', '166']",25.34368180316504,180166,6
Ohio,Geauga,39055,2018,2018-03-16 00:00:00,85217,528,7.56,2.0,229.0,2.283,2.03387912,2.33766591,6.0,"Ronyak Paving, Kokosing Construction, Chagrin Valley Paving, Burton Scot Contractors, Karvo Companies, Barbicas Construction",['528'],14.936324731039088,180167,6
Ohio,Licking,39089,2018,2018-03-16 00:00:00,92983,79,5.0,4.0,213.0,2.852,3.25498114,3.2524594500000004,2.0,"Shelly, Kokosing Construction","['79', '79', '79', '79']",-0.0774717238453669,180170,2
Ohio,Mercer,39107,2018,2018-03-16 00:00:00,100937,49 / 219,NA,2.0,171.0,1.833,1.9951523,2.12756153,1.0,Shelly,"['49', '49', '219']",6.636547495647322,180172,1
Ohio,Montgomery,39113,2018,2018-03-16 00:00:00,100962,40 / 35,NA,2.0,137.0,1.015,0.9895,0.91808485,2.0,"Barrett Paving Materials, John R Jurgensen","['35', '35', '40']",-7.217296614451753,180174,2
Ohio,Morrow,39117,2018,2018-03-16 00:00:00,103438,61 / 314 / 42,20.57,2.0,213.0,3.255,3.01622009,3.42982459,2.0,"Kokosing Construction, Shelly & Sands","['42', '314', '314', '61', '314', '42']",13.712676384964997,180175,2
Ohio,Sandusky,39143,2018,2018-03-16 00:00:00,95765,412 / 590,10.57,2.0,199.0,1.737,1.68001693,1.77782729,4.0,"M & B Asphalt, Gerken Paving, Erie Blacktop, Kokosing Construction","['412', '412', '412', '590', '412', '412', '412', '412', '590']",5.821986567718708,180179,4
Ohio,Logan,39091,2018,2018-03-16 00:00:00,103832,347,0.07,2.0,113.0,0.153,0.17727852,0.19943278,1.0,Shelly,['347'],12.496866512649142,180187,1
Ohio,Van Wert,39161,2018,2018-03-29 00:00:00,87210,30 / 697 / 190 / 189 / 66,NA,2.0,185.0,1.886,2.05153378,2.13151588,2.0,"Bluffton Paving, Shelly","['30', '697', '66', '697', '66', '66', '190', '66', '189']",3.898648941573831,180189,2
Ohio,Coshocton,39031,2018,2018-03-29 00:00:00,93010,36,7.54,4.0,216.0,3.566,3.54999531,3.89615212,2.0,"Shelly, The Lash Paving","['36', '36', '36', '36', '36', '36']",9.75090893852477,180195,2
Ohio,Cuyahoga,39035,2018,2018-03-29 00:00:00,85394,91,2.9,2.0,155.0,0.981,0.8838824599999999,0.95922092,7.0,"Chagrin Valley Paving, Ronyak Paving, Burton Scot Contractors, Barbicas Construction, Karvo Companies, Shelly, Kokosing Construction",['91'],8.523583554311069,180197,7
Ohio,Washington,39167,2018,2018-03-29 00:00:00,101746,60,0.55,2.0,170.0,0.308,0.33136658,0.359591,1.0,Shelly & Sands,['60'],8.51758194806488,180210,1
Ohio,Wayne,39169,2018,2018-03-29 00:00:00,106519,21,4.06,4.0,185.0,1.908,1.66986565,1.83208786,5.0,"Chagrin Valley Paving, Shelly, Superior Paving & Materials, Northstar Asphalt, Barbicas Construction",['21'],9.71468632820851,180211,5
Ohio,Van Wert,39161,2018,2018-03-29 00:00:00,88851,709,8.06,2.0,186.0,1.082,1.1949614,1.25600206,1.0,Shelly,['709'],5.108170021224133,180217,1
Ohio,Ashtabula,39007,2018,2018-04-12 00:00:00,88933,45 / 11,8.22,4.0,169.0,4.16,3.81638937,4.13334855,7.0,"Koski Construction, Ronyak Paving, Shelly & Sands, Karvo Companies, Chagrin Valley Paving, Kokosing Construction, Burton Scot Contractors","['11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '45', '45']",8.305210744259044,180192,7
Ohio,Richland,39139,2018,2018-04-12 00:00:00,98571,430 / 42 / 13,4.09,4.0,184.0,2.914,2.49765025,2.54673668,2.0,"Kokosing Construction, Shelly & Sands","['42', '430', '13', '42']",1.9653043895957816,180206,2
Ohio,Coshocton,39031,2018,2018-04-12 00:00:00,92987,651 / 643 / 621,NA,2.0,202.0,4.789,5.02547588,5.29041399,2.0,"Shelly, Melway Paving","['643', '643', '621', '651', '651', '651', '651', '643', '643']",5.271900936872074,180222,2
Ohio,Cuyahoga,39035,2018,2018-04-12 00:00:00,85401,322,NA,4.0,186.0,1.528,1.63889775,1.31184581,5.0,"Karvo Companies, Shelly, Chagrin Valley Paving, Burton Scot Contractors, Barbicas Construction","['322', '322']",-19.95560369766813,180223,5
Ohio,Jackson,39079,2018,2018-04-12 00:00:00,98152,327 / 124,4.675,2.0,171.0,1.218,1.07049331,1.2393853700000002,3.0,"Nuko Paving, Shelly & Sands, Shelly","['327', '327', '124', '327', '327']",15.77703087186973,180227,3
Ohio,Lake,39085,2018,2018-04-12 00:00:00,99645,528,6.18,2.0,202.0,1.006,0.96993966,1.06899606,6.0,"Ronyak Paving, Chagrin Valley Paving, Karvo Companies, Kokosing Construction, Burton Scot Contractors, Barbicas Construction","['528', '528', '528', '528', '528', '528', '528']",10.212635289085938,180228,6
Ohio,Logan,39091,2018,2018-04-12 00:00:00,100934,117 / 245,2.26,2.0,110.0,0.749,0.7885806,0.74617152,1.0,Shelly,"['117', '245']",-5.377900496157271,180229,1
Ohio,Miami,39109,2018,2018-04-12 00:00:00,100946,718 / 571,4.27,2.0,110.0,0.822,0.83902046,0.83300959,1.0,John R Jurgensen,"['571', '718', '571', '718']",-0.716415187300677,180230,1
Ohio,Morgan,39115,2018,2018-04-12 00:00:00,84516,60,10.94,2.0,141.0,2.545,2.99052535,2.935025,1.0,Shelly & Sands,"['60', '60']",-1.855872915439422,180231,1
Ohio,Ross,39141,2018,2018-04-12 00:00:00,104711,23 / 159,1.19,2.0,141.0,0.901,0.98358081,0.89722811,3.0,"Shelly & Sands, Shelly, Nuko Paving","['159', '23', '159', '23']",-8.779420981179985,180232,3
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,103544,250,15.72,2.0,186.0,4.195,4.35814304,4.49101791,4.0,"Karvo Companies, Shelly, Kokosing Construction, Chagrin Valley Paving","['250', '250', '250']",3.0488873077465626,180237,4
Ohio,Wayne,39169,2018,2018-04-12 00:00:00,92892,83,1.36,4.0,155.0,0.792,0.7581163000000001,0.7239874599999999,5.0,"Karvo Companies, Chagrin Valley Paving, Barbicas Construction, Kokosing Construction, Melway Paving",['83'],-4.501794777397631,180238,5
Ohio,Sandusky,39143,2018,2018-04-26 00:00:00,95769,6,9.0,2.0,393.0,4.566,4.23073939,4.70946383,3.0,"Erie Blacktop, Gerken Paving, Kokosing Construction","['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']",11.315384755949236,180233,3
Ohio,Carroll,39019,2018,2018-04-26 00:00:00,100591,39,NA,2.0,157.0,1.925,1.70815609,1.76126903,6.0,"Superior Paving & Materials, Shelly & Sands, Shelly, Barbicas Construction, Allied Enterprises, Nls Paving","['39', '39']",3.1093727505897824,180249,6
Ohio,Clark,39023,2018,2018-04-26 00:00:00,92876,72,1.55,4.0,157.0,0.744,0.71260645,0.72197126,3.0,"Barrett Paving Materials, John R Jurgensen, Shelly",['72'],1.3141629576886371,180250,3
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,101272,20,3.0,2.0,128.0,0.787,0.78180013,0.79582274,1.0,Gerken Paving,"['20', '20']",1.7936310652698322,180256,1
Ohio,Fulton,39051,2018,2018-04-26 00:00:00,102801,66,6.96,2.0,189.0,1.292,1.31675873,1.37392491,1.0,Gerken Paving,"['66', '66', '66', '66', '66', '66', '66']",4.341431630379248,180257,1
Ohio,Knox,39083,2018,2018-04-26 00:00:00,92968,768 / 36 / 308 / 13,15.6,2.0,172.0,5.223,5.68337534,6.0208588,1.0,Kokosing Construction,"['36', '308', '36', '13', '36', '308', '13', '768', '36', '308', '308', '36', '36', '36', '768', '36', '36']",5.938081506332478,180259,1
Ohio,Lake,39085,2018,2018-04-26 00:00:00,84405,535 / 283,1.09,4.0,172.0,1.023,0.93127305,0.88381436,6.0,"Chagrin Valley Paving, Karvo Companies, Burton Scot Contractors, Ronyak Paving, Barbicas Construction, Kokosing Construction","['283', '535']",-5.096109030536213,180260,6
Ohio,Lucas,39095,2018,2018-04-26 00:00:00,99662,184,1.57,4.0,189.0,2.565,3.0119587,2.95145311,2.0,"Shelly, Crestline Paving & Excavating",['184'],-2.0088452740072578,180262,2
Ohio,Medina,39103,2018,2018-04-26 00:00:00,92920,57,3.24,2.0,190.0,1.578,1.45241577,1.43912339,7.0,"Karvo Companies, Shelly & Sands, Chagrin Valley Paving, Shelly, Ronyak Paving, Barbicas Construction, Kokosing Construction","['57', '57', '57']",-0.9151911094989,180265,7
Ohio,Seneca,39147,2018,2018-04-26 00:00:00,101281,18,7.54,2.0,128.0,3.108,2.60528167,2.91647884,3.0,"Erie Blacktop, M & B Asphalt, Gerken Paving","['18', '18', '18']",11.944857002736285,180269,3
Ohio,Shelby,39149,2018,2018-04-26 00:00:00,100994,48,2.0,2.0,96.0,0.464,0.4671,0.47215265,1.0,Barrett Paving Materials,['48'],1.0817062727467333,180270,1
Ohio,Summit,39153,2018,2018-04-26 00:00:00,94126,532 / 224,NA,2.0,157.0,1.145,1.09140919,1.09383537,7.0,"Shelly & Sands, Karvo Companies, Barbicas Construction, Chagrin Valley Paving, Northstar Asphalt, Shelly, Allied Enterprises","['532', '532', '532', '532', '532', '532', '532', '532', '532', '224', '532']",0.2222979265915889,180272,7
Ohio,Cuyahoga,39035,2018,2018-05-10 00:00:00,105933,14702,1.11,4.0,143.0,1.687,1.53176875,1.73590304,7.0,"Karvo Companies, Shelly, Perk, Barbicas Construction, Chagrin Valley Paving, Ronyak Paving, Burton Scot Contractors",['14702'],13.326704177768352,180282,7
